diff.bits 16:           9
dataIN: 1011111100110001011100100   -0.693146
N OUT : 0011111011111111110101000   16OUT : 0011111011111111
N REAL: 0011111100000000000000000   16REAL: 0011111100000000
N err : 0.067284               16 err: 0.390625

diff.bits 16:           1
dataIN: 1011111100101011111001101   -0.671486
N OUT : 0011111100000010101101110   16OUT : 0011111100000010
N REAL: 0011111100000010110011011   16REAL: 0011111100000011
N err : 0.067315               16 err: 0.763359

diff.bits 16:           3
dataIN: 1011111100101010100000111   -0.666069
N OUT : 0011111100000011011110111   16OUT : 0011111100000011
N REAL: 0011111100000011100000111   16REAL: 0011111100000100
N err : 0.023524               16 err: 0.757576

diff.bits 16:           1
dataIN: 1011111100011001001011111   -0.598381
N OUT : 0011111100001100110010100   16OUT : 0011111100001101
N REAL: 0011111100001100101110010   16REAL: 0011111100001100
N err : -0.046645               16 err: -0.714286

diff.bits 16:           2
dataIN: 1011111100010111110011001   -0.592964
N OUT : 0011111100001101100111100   16OUT : 0011111100001110
N REAL: 0011111100001101011111010   16REAL: 0011111100001101
N err : -0.091468               16 err: -0.709220

diff.bits 16:           3
dataIN: 1011111100001100101101011   -0.549644
N OUT : 0011111100010010111110000   16OUT : 0011111100010011
N REAL: 0011111100010011110000001   16REAL: 0011111100010100
N err : 0.529892               16 err: 0.675676

diff.bits 16:           1
dataIN: 1011111100000100011001000   -0.517151
N OUT : 0011111100011000110000100   16OUT : 0011111100011001
N REAL: 0011111100011000101000011   16REAL: 0011111100011000
N err : -0.082750               16 err: -0.657895

diff.bits 16:           1
dataIN: 1011111100000000111011010   -0.503616
N OUT : 0011111100011010110111011   16OUT : 0011111100011011
N REAL: 0011111100011010101101100   16REAL: 0011111100011010
N err : -0.099465               16 err: -0.649351

diff.bits 16:           3
dataIN: 1011111011111111000101000   -0.498199
N OUT : 0011111100011011011110010   16OUT : 0011111100011011
N REAL: 0011111100011011100011010   16REAL: 0011111100011100
N err : 0.050800               16 err: 0.641026

diff.bits 16:           1
dataIN: 1011111011111010111010110   -0.490074
N OUT : 0011111100011100101100001   16OUT : 0011111100011100
N REAL: 0011111100011100110100100   16REAL: 0011111100011101
N err : 0.083711               16 err: 0.636943

diff.bits 16:           2
dataIN: 1011111011011111001100011   -0.435925
N OUT : 0011111100100101011111110   16OUT : 0011111100100101
N REAL: 0011111100100101100011000   16REAL: 0011111100100110
N err : 0.030529               16 err: 0.602410

diff.bits 16:           1
dataIN: 1011111011010101011111010   -0.416969
N OUT : 0011111100101000110010010   16OUT : 0011111100101001
N REAL: 0011111100101000101101110   16REAL: 0011111100101000
N err : -0.041857               16 err: -0.595238

diff.bits 16:           2
dataIN: 1011111010110000000011110   -0.343864
N OUT : 0011111100110101011100010   16OUT : 0011111100110101
N REAL: 0011111100110101100000101   16REAL: 0011111100110110
N err : 0.038017               16 err: 0.549451

diff.bits 16:           1
dataIN: 1011111010101100100101111   -0.337093
N OUT : 0011111100110110110111100   16OUT : 0011111100110111
N REAL: 0011111100110110101111100   16REAL: 0011111100110110
N err : -0.067627               16 err: -0.549451

diff.bits 16:           4
dataIN: 1011111010101010100000111   -0.333035
N OUT : 0011111100110111100101011   16OUT : 0011111100111000
N REAL: 0011111100110111011111001   16REAL: 0011111100110111
N err : -0.052944               16 err: -0.546448

diff.bits 16:           1
dataIN: 1011111010100001100000010   -0.315437
N OUT : 0011111100111010110101001   16OUT : 0011111100111011
N REAL: 0011111100111010101111101   16REAL: 0011111100111010
N err : -0.045950               16 err: -0.537634

diff.bits 16:           1
dataIN: 1011111010011011111101010   -0.304604
N OUT : 0011111100111100101010110   16OUT : 0011111100111100
N REAL: 0011111100111100110001110   16REAL: 0011111100111101
N err : 0.058501               16 err: 0.529101

diff.bits 16:           2
dataIN: 1011111010011001111000010   -0.300545
N OUT : 0011111100111101011010000   16OUT : 0011111100111101
N REAL: 0011111100111101100011000   16REAL: 0011111100111110
N err : 0.073826               16 err: 0.526316

diff.bits 16:           1
dataIN: 1011111010001100000001000   -0.273468
N OUT : 0011111101000010110111111   16OUT : 0011111101000011
N REAL: 0011111101000010101111111   16REAL: 0011111101000010
N err : -0.063907               16 err: -0.515464

diff.bits 16:           1
dataIN: 1011111010000111001010100   -0.263992
N OUT : 0011111101000100110010010   16OUT : 0011111101000101
N REAL: 0011111101000100100110100   16REAL: 0011111101000100
N err : -0.092784               16 err: -0.510204

diff.bits 16:           2
dataIN: 1011111010000101000101011   -0.259930
N OUT : 0011111101000101100011100   16OUT : 0011111101000110
N REAL: 0011111101000101011001110   16REAL: 0011111101000101
N err : -0.076794               16 err: -0.507614

diff.bits 16:           4
dataIN: 1011111001111111000101000   -0.249100
N OUT : 0011111101000111011111100   16OUT : 0011111101000111
N REAL: 0011111101000111100011011   16REAL: 0011111101001000
N err : 0.030260               16 err: 0.500000

diff.bits 16:           1
dataIN: 1011111001101110011100010   -0.232853
